a,b,sessao_a,sessao_b,inliers
20150921_131833_image411.png,20150921_132038_image1196.png,20150921_131833,20150921_132038,11
20150921_131453_image626.png,20150921_131833_image331.png,20150921_131453,20150921_131833,11
20150921_131729_image291.png,20150921_131833_image386.png,20150921_131729,20150921_131833,11
20150921_131234_image231.png,20150921_131346_image541.png,20150921_131234,20150921_131346,11
20150921_131729_image291.png,20150921_132245_image301.png,20150921_131729,20150921_132245,11
20150921_131346_image411.png,20150921_131453_image671.png,20150921_131346,20150921_131453,11
20150921_131346_image411.png,20150921_131625_image646.png,20150921_131346,20150921_131625,11
20150919_174151_image231.png,20150921_131625_image31.png,20150919_174151,20150921_131625,11
20150921_131346_image596.png,20150921_131833_image381.png,20150921_131346,20150921_131833,11
20150921_131453_image1101.png,20150921_132038_image666.png,20150921_131453,20150921_132038,10
20150921_131833_image16.png,20150921_132245_image901.png,20150921_131833,20150921_132245,10
20150921_131346_image1026.png,20150921_132038_image911.png,20150921_131346,20150921_132038,10
20150919_174151_image71.png,20150921_131346_image856.png,20150919_174151,20150921_131346,10
20150919_174151_image111.png,20150921_131346_image1021.png,20150919_174151,20150921_131346,10
20150921_131453_image671.png,20150921_131833_image451.png,20150921_131453,20150921_131833,10
20150919_174730_image321.png,20150921_131346_image1056.png,20150919_174730,20150921_131346,10
20150921_131625_image906.png,20150921_131833_image331.png,20150921_131625,20150921_131833,10
20150921_131453_image666.png,20150921_132038_image96.png,20150921_131453,20150921_132038,10
20150921_131453_image81.png,20150921_131833_image386.png,20150921_131453,20150921_131833,10
20150919_174730_image111.png,20150921_132038_image271.png,20150919_174730,20150921_132038,10
20150919_174730_image426.png,20150921_131729_image11.png,20150919_174730,20150921_131729,10
20150921_131625_image441.png,20150921_131833_image371.png,20150921_131625,20150921_131833,10
20150921_131453_image171.png,20150921_131729_image451.png,20150921_131453,20150921_131729,10
20150921_131625_image301.png,20150921_131729_image21.png,20150921_131625,20150921_131729,10
20150919_174151_image471.png,20150921_131729_image166.png,20150919_174151,20150921_131729,10
20150919_174730_image396.png,20150921_131833_image181.png,20150919_174730,20150921_131833,10
20150921_131453_image1086.png,20150921_131833_image76.png,20150921_131453,20150921_131833,10
20150921_131453_image731.png,20150921_131833_image16.png,20150921_131453,20150921_131833,10
20150921_131453_image946.png,20150921_131625_image636.png,20150921_131453,20150921_131625,10
20150921_131234_image91.png,20150921_131346_image1061.png,20150921_131234,20150921_131346,10
20150921_131453_image176.png,20150921_131833_image406.png,20150921_131453,20150921_131833,10
20150921_131453_image1101.png,20150921_132038_image71.png,20150921_131453,20150921_132038,10
20150919_174730_image36.png,20150921_131833_image316.png,20150919_174730,20150921_131833,10
20150921_131234_image486.png,20150921_132038_image916.png,20150921_131234,20150921_132038,10
20150921_131234_image536.png,20150921_131729_image366.png,20150921_131234,20150921_131729,10
20150921_131625_image306.png,20150921_132245_image1166.png,20150921_131625,20150921_132245,10
20150921_131453_image746.png,20150921_132038_image1056.png,20150921_131453,20150921_132038,10
20150921_131453_image731.png,20150921_131833_image216.png,20150921_131453,20150921_131833,10
20150921_131453_image731.png,20150921_131833_image221.png,20150921_131453,20150921_131833,10
20150921_131453_image1071.png,20150921_132038_image1371.png,20150921_131453,20150921_132038,10
20150921_131234_image476.png,20150921_132038_image96.png,20150921_131234,20150921_132038,10
20150921_131453_image701.png,20150921_132038_image46.png,20150921_131453,20150921_132038,10
20150921_131453_image946.png,20150921_132038_image686.png,20150921_131453,20150921_132038,10
20150921_131234_image546.png,20150921_131833_image311.png,20150921_131234,20150921_131833,10
20150921_131453_image1211.png,20150921_131625_image156.png,20150921_131453,20150921_131625,10
20150921_131625_image306.png,20150921_132038_image101.png,20150921_131625,20150921_132038,10
20150919_174151_image71.png,20150921_131833_image351.png,20150919_174151,20150921_131833,10
20150921_131833_image241.png,20150921_132038_image121.png,20150921_131833,20150921_132038,10
20150921_131453_image691.png,20150921_131833_image351.png,20150921_131453,20150921_131833,10
20150921_131346_image981.png,20150921_132038_image931.png,20150921_131346,20150921_132038,10
20150921_131453_image691.png,20150921_131729_image251.png,20150921_131453,20150921_131729,10
20150921_131453_image711.png,20150921_131833_image386.png,20150921_131453,20150921_131833,10
20150921_131453_image711.png,20150921_131625_image501.png,20150921_131453,20150921_131625,10
20150921_131833_image91.png,20150921_132245_image801.png,20150921_131833,20150921_132245,10
20150921_131453_image1196.png,20150921_131833_image321.png,20150921_131453,20150921_131833,10
20150921_131453_image1096.png,20150921_131625_image686.png,20150921_131453,20150921_131625,10
20150921_131625_image271.png,20150921_132038_image46.png,20150921_131625,20150921_132038,10
20150921_131453_image231.png,20150921_131833_image246.png,20150921_131453,20150921_131833,10
20150921_131234_image56.png,20150921_132038_image136.png,20150921_131234,20150921_132038,10
20150921_131453_image721.png,20150921_131833_image101.png,20150921_131453,20150921_131833,10
20150921_131234_image546.png,20150921_131346_image786.png,20150921_131234,20150921_131346,10
20150921_131234_image626.png,20150921_131625_image686.png,20150921_131234,20150921_131625,10
20150921_131453_image1126.png,20150921_132038_image56.png,20150921_131453,20150921_132038,10
20150921_131453_image731.png,20150921_132245_image101.png,20150921_131453,20150921_132245,10
20150921_131453_image746.png,20150921_131833_image26.png,20150921_131453,20150921_131833,10
20150919_174151_image146.png,20150919_174730_image436.png,20150919_174151,20150919_174730,10
20150921_131346_image1031.png,20150921_131625_image1051.png,20150921_131346,20150921_131625,10
20150921_131453_image671.png,20150921_131833_image331.png,20150921_131453,20150921_131833,10
20150921_131453_image671.png,20150921_132245_image301.png,20150921_131453,20150921_132245,10
20150921_131625_image726.png,20150921_131833_image431.png,20150921_131625,20150921_131833,10
20150921_131453_image711.png,20150921_132038_image171.png,20150921_131453,20150921_132038,10
20150921_131453_image686.png,20150921_131625_image336.png,20150921_131453,20150921_131625,10
20150919_174151_image676.png,20150921_131729_image451.png,20150919_174151,20150921_131729,10
20150919_174151_image121.png,20150919_174730_image961.png,20150919_174151,20150919_174730,10
20150921_131453_image1081.png,20150921_132038_image666.png,20150921_131453,20150921_132038,10
20150921_131453_image1126.png,20150921_131833_image271.png,20150921_131453,20150921_131833,10
20150921_131833_image111.png,20150921_132038_image101.png,20150921_131833,20150921_132038,10
20150921_131346_image991.png,20150921_131453_image46.png,20150921_131346,20150921_131453,10
20150919_174730_image1146.png,20150921_132038_image66.png,20150919_174730,20150921_132038,10
20150921_131833_image106.png,20150921_132038_image901.png,20150921_131833,20150921_132038,10
20150921_131234_image626.png,20150921_131729_image166.png,20150921_131234,20150921_131729,10
20150919_174151_image126.png,20150919_174730_image376.png,20150919_174151,20150919_174730,10
20150921_131453_image196.png,20150921_131625_image666.png,20150921_131453,20150921_131625,10
20150921_131453_image691.png,20150921_132245_image301.png,20150921_131453,20150921_132245,10
20150921_131625_image646.png,20150921_131833_image106.png,20150921_131625,20150921_131833,10
20150921_131453_image251.png,20150921_131729_image171.png,20150921_131453,20150921_131729,10
20150921_131625_image361.png,20150921_132038_image271.png,20150921_131625,20150921_132038,10
20150919_174151_image141.png,20150921_131833_image471.png,20150919_174151,20150921_131833,10
20150919_174730_image411.png,20150921_131346_image311.png,20150919_174730,20150921_131346,10
20150919_174151_image96.png,20150921_131833_image371.png,20150919_174151,20150921_131833,10
20150921_131234_image486.png,20150921_131346_image1041.png,20150921_131234,20150921_131346,10
20150921_131234_image461.png,20150921_131453_image701.png,20150921_131234,20150921_131453,10
20150919_174730_image6.png,20150921_131625_image681.png,20150919_174730,20150921_131625,10
20150921_131729_image71.png,20150921_132038_image1191.png,20150921_131729,20150921_132038,10
20150921_131234_image486.png,20150921_131625_image711.png,20150921_131234,20150921_131625,10
20150921_131833_image116.png,20150921_132038_image906.png,20150921_131833,20150921_132038,10
20150919_174151_image736.png,20150921_131453_image176.png,20150919_174151,20150921_131453,10
20150919_174730_image521.png,20150921_131625_image966.png,20150919_174730,20150921_131625,10
20150921_131453_image731.png,20150921_131625_image336.png,20150921_131453,20150921_131625,10
20150921_131453_image691.png,20150921_131729_image501.png,20150921_131453,20150921_131729,10
20150921_131234_image461.png,20150921_131346_image756.png,20150921_131234,20150921_131346,10
20150921_131234_image481.png,20150921_131625_image161.png,20150921_131234,20150921_131625,10
20150919_174730_image36.png,20150921_131453_image31.png,20150919_174730,20150921_131453,10
20150921_131453_image1121.png,20150921_131833_image101.png,20150921_131453,20150921_131833,10
20150921_131453_image841.png,20150921_131833_image381.png,20150921_131453,20150921_131833,10
20150919_174730_image491.png,20150921_131234_image91.png,20150919_174730,20150921_131234,10
20150921_131453_image1071.png,20150921_131625_image511.png,20150921_131453,20150921_131625,10
20150921_131453_image691.png,20150921_131833_image436.png,20150921_131453,20150921_131833,10
20150921_131346_image1.png,20150921_131453_image236.png,20150921_131346,20150921_131453,10
20150921_131453_image721.png,20150921_131625_image661.png,20150921_131453,20150921_131625,10
